file_name,window_size,sigma,zero_threshold,breath_threshold_factor,inhale_count,exhale_count
main_audio_with_frequency_change2.wav,300,3.0,2,1.2,12,25
main_audio_with_frequency_change2.wav,300,3.0,2,1.3,12,25
main_audio_with_frequency_change2.wav,300,3.0,2,1.4000000000000001,12,25
main_audio_with_frequency_change2.wav,300,3.0,2,1.5000000000000002,12,25
main_audio_with_frequency_change2.wav,300,3.0,2,1.6000000000000003,12,25
main_audio_with_frequency_change2.wav,300,3.0,3,1.2,12,25
main_audio_with_frequency_change2.wav,300,3.0,3,1.3,12,25
main_audio_with_frequency_change2.wav,300,3.0,3,1.4000000000000001,12,25
main_audio_with_frequency_change2.wav,300,3.0,3,1.5000000000000002,12,25
main_audio_with_frequency_change2.wav,300,3.0,3,1.6000000000000003,12,25
main_audio_with_frequency_change2.wav,300,3.0,4,1.2,16,25
main_audio_with_frequency_change2.wav,300,3.0,4,1.3,17,26
main_audio_with_frequency_change2.wav,300,3.0,4,1.4000000000000001,17,27
main_audio_with_frequency_change2.wav,300,3.0,4,1.5000000000000002,17,27
main_audio_with_frequency_change2.wav,300,3.0,4,1.6000000000000003,19,31
main_audio_with_frequency_change2.wav,300,3.5,2,1.2,12,25
main_audio_with_frequency_change2.wav,300,3.5,2,1.3,12,25
main_audio_with_frequency_change2.wav,300,3.5,2,1.4000000000000001,12,25
main_audio_with_frequency_change2.wav,300,3.5,2,1.5000000000000002,12,25
main_audio_with_frequency_change2.wav,300,3.5,2,1.6000000000000003,12,25
main_audio_with_frequency_change2.wav,300,3.5,3,1.2,12,25
main_audio_with_frequency_change2.wav,300,3.5,3,1.3,12,25
main_audio_with_frequency_change2.wav,300,3.5,3,1.4000000000000001,12,25
main_audio_with_frequency_change2.wav,300,3.5,3,1.5000000000000002,12,25
main_audio_with_frequency_change2.wav,300,3.5,3,1.6000000000000003,12,25
main_audio_with_frequency_change2.wav,300,3.5,4,1.2,16,25
main_audio_with_frequency_change2.wav,300,3.5,4,1.3,17,26
main_audio_with_frequency_change2.wav,300,3.5,4,1.4000000000000001,17,27
main_audio_with_frequency_change2.wav,300,3.5,4,1.5000000000000002,17,27
main_audio_with_frequency_change2.wav,300,3.5,4,1.6000000000000003,17,28
main_audio_with_frequency_change2.wav,300,4.0,2,1.2,12,25
