name_of_file	inhale_count	exhale_count
main_audio_no_delay03	6	7
main_audio_no_delay05	7	8
main_audio_no_delay07	7	7
main_audio_no_delay	7	8
main_audio_no_delay_threshold01	3	3
main_audio_no_delay_threshold1	6	6
main_audio_no_delay_threshold02_dB65	4	7
main_audio_no_delay_threshold03	3	4
main_audio_no_delay_threshold04_dB55	1	6
main_audio_no_delay_threshold04_dB60	0	0
main_audio_no_delay_threshold04_dB63	1	5
main_audio_no_delay_threshold04_dB67	5	7
main_audio_no_delay_threshold04_dB70	6	6
main_audio_no_delay_threshold05	8	8
main_audio_no_delay_threshold06	5	6
main_audio_no_delay_threshold07	2	3
main_audio_no_delay_threshold08	6	7
main_audio_no_delay1	6	7
main_audio_no_delay2	7	7
main_audio_no_delay3	5	8
main_audio_no_delay4	1	5
main_audio_no_delay5	5	7
main_audio_with_fan_noise	0	6
main_audio_with_frequency_change	2	15
main_audio_with_frequency_change1	15	22
main_audio_with_frequency_change2	25	26
main_audio_with_random_video	10	10
main_audio_with_same_frequency_noise	6	6
main_audio_with_same_frequency_noise1	6	7
main_audio_with_same_frequency_noise2	6	6
main_audio_with_same_frequency_noise3	6	6
main_audio_with_small_noise	6	6
main_audio_without_noise	5	6
main_audio_without_noise2	10	10
